-------------- Insert cercado-------------------------------------------------------------------------------------------------------------------
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('80 ',' 64 ',' 61 ',' 53 ',' 2022-01-09 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('78 ',' 3 ',' 49 ',' 33 ',' 2022-01-06 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('8 ',' 68 ',' 96 ',' 45 ',' 2022-01-24 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('94 ',' 27 ',' 65 ',' 98 ',' 2022-01-17 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('79 ',' 30 ',' 46 ',' 44 ',' 2022-01-05 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('76 ',' 3 ',' 46 ',' 50 ',' 2022-01-27 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('90 ',' 72 ',' 39 ',' 39 ',' 2022-01-24 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('65 ',' 86 ',' 66 ',' 96 ',' 2022-01-16 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('55 ',' 32 ',' 68 ',' 21 ',' 2022-01-06 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('68 ',' 10 ',' 75 ',' 42 ',' 2022-01-10 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('39 ',' 11 ',' 92 ',' 5 ',' 2022-01-08 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('69 ',' 88 ',' 41 ',' 80 ',' 2022-01-29 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('56 ',' 78 ',' 27 ',' 31 ',' 2022-01-28 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('67 ',' 1 ',' 12 ',' 40 ',' 2022-01-10 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('97 ',' 36 ',' 44 ',' 18 ',' 2022-01-20 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('3 ',' 11 ',' 2 ',' 91 ',' 2022-01-06 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('78 ',' 36 ',' 22 ',' 71 ',' 2022-01-17 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('65 ',' 32 ',' 62 ',' 69 ',' 2022-01-13 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('67 ',' 87 ',' 52 ',' 32 ',' 2022-01-05 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('55 ',' 50 ',' 10 ',' 93 ',' 2022-01-03 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('93 ',' 31 ',' 56 ',' 5 ',' 2022-01-26 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('74 ',' 14 ',' 93 ',' 41 ',' 2022-01-16 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('86 ',' 70 ',' 86 ',' 67 ',' 2022-01-24 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('80 ',' 96 ',' 95 ',' 69 ',' 2022-01-31 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('92 ',' 50 ',' 86 ',' 84 ',' 2022-01-22 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('56 ',' 32 ',' 13 ',' 90 ',' 2022-01-01 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('6 ',' 8 ',' 35 ',' 50 ',' 2022-01-11 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('51 ',' 94 ',' 84 ',' 59 ',' 2022-01-28 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('97 ',' 39 ',' 7 ',' 58 ',' 2022-01-10 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('41 ',' 16 ',' 55 ',' 80 ',' 2022-01-13 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('37 ',' 47 ',' 83 ',' 32 ',' 2022-01-13 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('72 ',' 64 ',' 30 ',' 65 ',' 2022-01-20 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('57 ',' 87 ',' 79 ',' 37 ',' 2022-01-27 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('53 ',' 85 ',' 27 ',' 3 ',' 2022-01-07 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('77 ',' 7 ',' 90 ',' 91 ',' 2022-01-28 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('23 ',' 66 ',' 42 ',' 49 ',' 2022-01-20 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('90 ',' 36 ',' 22 ',' 19 ',' 2022-01-18 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('35 ',' 72 ',' 93 ',' 30 ',' 2022-01-12 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('16 ',' 85 ',' 57 ',' 64 ',' 2022-01-15 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('26 ',' 14 ',' 78 ',' 60 ',' 2022-01-07 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('6 ',' 99 ',' 90 ',' 96 ',' 2022-01-10 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('97 ',' 54 ',' 38 ',' 52 ',' 2022-01-15 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('53 ',' 25 ',' 91 ',' 64 ',' 2022-01-09 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('50 ',' 49 ',' 50 ',' 35 ',' 2022-01-24 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('95 ',' 86 ',' 30 ',' 0 ',' 2022-01-13 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('42 ',' 31 ',' 88 ',' 64 ',' 2022-01-16 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('37 ',' 85 ',' 5 ',' 42 ',' 2022-01-09 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('43 ',' 73 ',' 40 ',' 98 ',' 2022-01-03 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('24 ',' 59 ',' 51 ',' 75 ',' 2022-01-24 ');
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('23 ',' 74 ',' 6 ',' 15 ',' 2022-01-19 ');



-------------- Insert celeiro------------------------------------------------------------------------------------------------------------------
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('70 ',' 51 ',' 31 ',' 37 ',' 2022-01-19 ');
